id,name,address,lat,lng,phone,specialty_ids
1,Phòng Khám Đa Khoa Sài Gòn (Q1),"123 Nguyễn Trãi, Quận 1, TP. HCM",10.762622,106.660172,028-3822-1111,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
2,Bệnh viện Bạch Mai,"78 Đường Giải Phóng, Phương Mai, Đống Đa, Hà Nội",21.0036,105.8441,024-3869-3731,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
3,Bệnh viện Hữu nghị Việt Đức,"40 Tràng Thi, Hàng Bông, Hoàn Kiếm, Hà Nội",21.0285,105.8465,024-3825-3531,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
4,Bệnh viện Chợ Rẫy,"201B Nguyễn Chí Thanh, Phường 12, Quận 5, TP. HCM",10.7578,106.6575,028-3855-4137,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
5,Bệnh viện Nhi Đồng 1,"341 Sư Vạn Hạnh, Phường 10, Quận 10, TP. HCM",10.7709,106.6669,028-3927-1119,"8,9"
6,Bệnh viện Trung ương Huế,"16 Lê Lợi, Vĩnh Ninh, TP. Huế, Thừa Thiên Huế",16.4658,107.5833,0234-3822-325,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
7,Bệnh viện Đà Nẵng,"124 Hải Phòng, Thạch Thang, Hải Châu, Đà Nẵng",16.0745,108.2163,0236-3821-118,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
8,Bệnh viện Đa khoa Trung ương Cần Thơ,"315 Nguyễn Văn Linh, An Khánh, Ninh Kiều, Cần Thơ",10.0274,105.7601,0292-3820-071,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
9,Bệnh viện Phụ Sản Trung Ương,"43 Trống Đồng, Hoàn Kiếm, Hà Nội",21.0263,105.8488,024-3825-2161,"9,10,11"
10,Bệnh viện Từ Dũ,"284 Cống Quỳnh, Phạm Ngũ Lão, Quận 1, TP. HCM",10.7645,106.6857,028-5404-2829,"9,10,11"
11,Bệnh viện K Trung ương,"43 Quán Sứ, Hàng Bông, Hoàn Kiếm, Hà Nội",21.0267,105.8453,090-469-0818,"1,2,11"
12,Bệnh viện Ung Bướu TP. HCM,"3 Nơ Trang Long, Phường 7, Bình Thạnh, TP. HCM",10.8066,106.6917,028-3841-2637,"1,2,11"
13,Bệnh viện Đa khoa Quốc tế Vinmec Times City,"458 Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",20.9959,105.8679,024-3974-3556,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
14,Bệnh viện Đa khoa Quốc tế Vinmec Central Park,"208 Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, TP. HCM",10.7937,106.7203,028-3622-1166,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
15,Bệnh viện E Trung ương,"89 Trần Cung, Nghĩa Tân, Cầu Giấy, Hà Nội",21.0478,105.7891,024-3754-3650,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
16,Bệnh viện Chấn thương Chỉnh hình TP.HCM,"929 Trần Hưng Đạo, Phường 1, Quận 5, TP.HCM",10.7547,106.6713,028-3923-5697,"16,17"
17,Bệnh viện Mắt TP.HCM,"280 Điện Biên Phủ, Võ Thị Sáu, Quận 3, TP.HCM",10.7818,106.6853,028-3932-5364,5
18,Bệnh viện Tai Mũi Họng TP.HCM,"155B Trần Quốc Thảo, Quận 3, TP.HCM",10.7845,106.6833,028-3843-9692,4
19,Bệnh viện Đa khoa tỉnh Quảng Ninh,"Phố Tuệ Tĩnh, Bạch Đằng, Hạ Long, Quảng Ninh",20.9572,107.0864,0203-3825-489,"1,2,3,4,5,6,7,8,9"
20,Bệnh viện Hữu nghị đa khoa Nghệ An,"Km5, V.I. Lê Nin, Nghi Phú, Vinh, Nghệ An",18.6946,105.6798,0238-3844-528,"1,2,3,4,5,6,7,8,9"
21,Bệnh viện Đa khoa tỉnh Thanh Hóa,"181 Hải Thượng Lãn Ông, Đông Vệ, Thanh Hóa",19.7891,105.7663,0237-3951-467,"1,2,3,4,5,6,7,8,9"
22,Bệnh viện Đa khoa tỉnh Đồng Nai,"2 Đồng Khởi, Tân Hiệp, Biên Hòa, Đồng Nai",10.9634,106.8407,0251-3822-720,"1,2,3,4,5,6,7,8,9"
23,Bệnh viện Đa khoa tỉnh Bình Dương,"5 Phạm Ngọc Thạch, Hiệp Thành, Thủ Dầu Một, Bình Dương",10.9904,106.6661,0274-3822-920,"1,2,3,4,5,6,7,8,9"
24,Bệnh viện Đa khoa Khánh Hòa,"19 Yersin, Lộc Thọ, Nha Trang, Khánh Hòa",12.2478,109.1932,0258-3822-173,"1,2,3,4,5,6,7,8,9"
25,Bệnh viện Đa khoa Lâm Đồng,"01 Phạm Ngọc Thạch, Phường 6, Đà Lạt, Lâm Đồng",11.9507,108.4357,0263-3827-528,"1,2,3,4,5,6,7,8,9"
26,Bệnh viện Đa khoa Thống Nhất - Đồng Nai,"234 QL1A, Tân Biên, Biên Hòa, Đồng Nai",10.9702,106.8791,0251-3883-660,"1,2,3,4,5,6,7,8,9"
27,Bệnh viện Đa khoa tỉnh Tiền Giang,"315 Hùng Vương, Đạo Thạnh, Mỹ Tho, Tiền Giang",10.3644,106.3533,0273-3872-363,"1,2,3,4,5,6,7,8,9"
28,Bệnh viện Đa khoa Kiên Giang,"13 Nam Kỳ Khởi Nghĩa, Rạch Giá, Kiên Giang",9.9984,105.0837,0297-3862-234,"1,2,3,4,5,6,7,8,9"
29,Bệnh viện Bà Rịa,"686 Võ Văn Kiệt, Long Tâm, Bà Rịa, Bà Rịa - Vũng Tàu",10.5135,107.1925,0254-3731-115,"1,2,3,4,5,6,7,8,9"
30,Bệnh viện Đa khoa tỉnh Bình Định,"106 Nguyễn Huệ, Trần Phú, Quy Nhơn, Bình Định",13.7749,109.2274,0256-3822-184,"1,2,3,4,5,6,7,8,9"
31,Bệnh viện Đa khoa tỉnh Phú Thọ,"Nguyễn Tất Thành, Tân Dân, Việt Trì, Phú Thọ",21.3284,105.3524,0210-3841-318,"1,2,3,4,5,6,7,8,9"
32,Bệnh viện Đa khoa Thái Bình,"530 Lý Bôn, Quang Trung, Thái Bình",20.4497,106.3353,0227-3831-255,"1,2,3,4,5,6,7,8,9"
33,Bệnh viện Đa khoa Hải Dương,"225 Nguyễn Lương Bằng, Thanh Bình, Hải Dương",20.9324,106.3051,0220-3890-205,"1,2,3,4,5,6,7,8,9"
34,Bệnh viện Hữu nghị Việt Tiệp Hải Phòng,"1 Nhà Thương, Cát Dài, Lê Chân, Hải Phòng",20.8526,106.6713,0225-3700-436,"1,2,3,4,5,6,7,8,9"
35,Bệnh viện Bãi Cháy,"Giếng Đáy, Hạ Long, Quảng Ninh",20.9575,107.0322,0203-3846-566,"1,2,3,4,5,6,7,8,9"
